Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,-17.060639188078415
75% Corpus,2,0.01,0.31,-18.47807439045861
75% Corpus,2,0.01,0.61,-18.46060703229869
75% Corpus,2,0.01,0.9099999999999999,-18.43050015865257
75% Corpus,2,0.01,symmetric,-18.449054555063242
75% Corpus,2,0.31,0.01,-17.060639188078415
75% Corpus,2,0.31,0.31,-18.472333170859898
75% Corpus,2,0.31,0.61,-18.455037151526483
75% Corpus,2,0.31,0.9099999999999999,-18.452997072880358
75% Corpus,2,0.31,symmetric,-18.48267600751945
75% Corpus,2,0.61,0.01,-17.060639188078415
75% Corpus,2,0.61,0.31,-18.484266431808628
75% Corpus,2,0.61,0.61,-18.448800858735304
75% Corpus,2,0.61,0.9099999999999999,-18.45759497553381
75% Corpus,2,0.61,symmetric,-18.476324563523725
75% Corpus,2,0.9099999999999999,0.01,-17.060639188078415
75% Corpus,2,0.9099999999999999,0.31,-18.543951155115703
75% Corpus,2,0.9099999999999999,0.61,-18.452814756378338
75% Corpus,2,0.9099999999999999,0.9099999999999999,-18.43633875529028
75% Corpus,2,0.9099999999999999,symmetric,-18.396167439204536
75% Corpus,2,symmetric,0.01,-17.060639188078415
75% Corpus,2,symmetric,0.31,-18.490701781361004
75% Corpus,2,symmetric,0.61,-18.48100428427675
75% Corpus,2,symmetric,0.9099999999999999,-18.45738279051842
75% Corpus,2,symmetric,symmetric,-18.460524894211254
75% Corpus,2,asymmetric,0.01,-17.060639188078415
75% Corpus,2,asymmetric,0.31,-18.50254421360293
75% Corpus,2,asymmetric,0.61,-18.48929558410518
75% Corpus,2,asymmetric,0.9099999999999999,-18.438858351725926
75% Corpus,2,asymmetric,symmetric,-18.447710175378205
75% Corpus,3,0.01,0.01,-17.060639188078415
75% Corpus,3,0.01,0.31,-18.158598573674652
75% Corpus,3,0.01,0.61,-18.151988078025482
75% Corpus,3,0.01,0.9099999999999999,-18.142795867685994
75% Corpus,3,0.01,symmetric,-18.158006525315425
75% Corpus,3,0.31,0.01,-17.060639188078415
75% Corpus,3,0.31,0.31,-18.0972611361064
75% Corpus,3,0.31,0.61,-18.14169375108523
75% Corpus,3,0.31,0.9099999999999999,-18.007833685849636
75% Corpus,3,0.31,symmetric,-18.14558264224163
75% Corpus,3,0.61,0.01,-17.060639188078415
75% Corpus,3,0.61,0.31,-18.112573933181622
75% Corpus,3,0.61,0.61,-18.159877325068532
75% Corpus,3,0.61,0.9099999999999999,-18.172530272187515
75% Corpus,3,0.61,symmetric,-18.161741448946344
75% Corpus,3,0.9099999999999999,0.01,-17.060639188078415
75% Corpus,3,0.9099999999999999,0.31,-18.493948988311413
75% Corpus,3,0.9099999999999999,0.61,-18.46153422157229
75% Corpus,3,0.9099999999999999,0.9099999999999999,-18.893359542157505
75% Corpus,3,0.9099999999999999,symmetric,-18.612229868783263
75% Corpus,3,symmetric,0.01,-17.060639188078415
75% Corpus,3,symmetric,0.31,-18.06749639663975
75% Corpus,3,symmetric,0.61,-18.06545974737028
75% Corpus,3,symmetric,0.9099999999999999,-18.07545022482925
75% Corpus,3,symmetric,symmetric,-18.11821843435948
75% Corpus,3,asymmetric,0.01,-17.060639188078415
75% Corpus,3,asymmetric,0.31,-18.142258751437
75% Corpus,3,asymmetric,0.61,-18.103293532063898
75% Corpus,3,asymmetric,0.9099999999999999,-18.121169292292198
75% Corpus,3,asymmetric,symmetric,-18.157235268780198
75% Corpus,4,0.01,0.01,-17.060639188078415
75% Corpus,4,0.01,0.31,-17.92730172576487
75% Corpus,4,0.01,0.61,-17.918600337959184
75% Corpus,4,0.01,0.9099999999999999,-17.91845667785487
75% Corpus,4,0.01,symmetric,-17.92220577508144
75% Corpus,4,0.31,0.01,-17.060639188078415
75% Corpus,4,0.31,0.31,-17.93374659214963
75% Corpus,4,0.31,0.61,-17.909841590755335
75% Corpus,4,0.31,0.9099999999999999,-17.92205617999548
75% Corpus,4,0.31,symmetric,-17.917536197176915
75% Corpus,4,0.61,0.01,-17.060639188078415
75% Corpus,4,0.61,0.31,-17.90343726786509
75% Corpus,4,0.61,0.61,-17.937369208547437
75% Corpus,4,0.61,0.9099999999999999,-17.911701150497397
75% Corpus,4,0.61,symmetric,-17.91130810321803
75% Corpus,4,0.9099999999999999,0.01,-17.060639188078415
75% Corpus,4,0.9099999999999999,0.31,-18.966705675288143
75% Corpus,4,0.9099999999999999,0.61,-18.98482363892978
75% Corpus,4,0.9099999999999999,0.9099999999999999,-18.970817970920407
75% Corpus,4,0.9099999999999999,symmetric,-18.959486757249017
75% Corpus,4,symmetric,0.01,-17.060639188078415
75% Corpus,4,symmetric,0.31,-17.9305315923123
75% Corpus,4,symmetric,0.61,-17.896258453900636
75% Corpus,4,symmetric,0.9099999999999999,-17.957486998729905
